NAMESPACE,NAME,VS,PF,READY,STATUS,RESTARTS,LAST RESTART,CPU,MEM,CPU/R:L,MEM/R:L,%CPU/R,%CPU/L,%MEM/R,%MEM/L,IP,NODE,SERVICEACCOUNT,NOMINATED NODE,READINESS GATES,QOS,LABELS,VALID,AGE
cert-manager,cert-manager-webhook-74f996695-xfrv5,0,●,1/1,Terminating,0,<unknown>,0,0,0:0,0:0,n/a,n/a,n/a,n/a,10.1.248.97,profk8s-0,cert-manager-webhook,<none>,<none>,BE,app=webhook app.kubernetes.io/component=webhook app.kubernetes.io/instance=cert-manager app.kubernetes.io/name=webhook app.kubernetes.io/version=v1.8.0 pod-template-hash=74f996695,pod is terminating,10d
kube-system,calico-node-r92ch,0,●,1/1,Running,7,50d,47,124,250:0,0:0,18,n/a,n/a,n/a,192.168.168.221,profk8s-1,calico-node,<none>,<none>,BU,controller-revision-hash=9c879765c k8s-app=calico-node pod-template-generation=5,,378d
kube-system,coredns-864597b5fd-hf6hr,0,●,1/1,Running,5,15d,8,16,100:0,70:170,8,n/a,24,9,10.1.175.44,k8s-control,coredns,<none>,<none>,BU,k8s-app=kube-dns pod-template-hash=864597b5fd,,233d
postgres,postgres-db-postgresql-0,0,●,1/1,Running,3,50d,9,79,0:0,0:0,n/a,n/a,n/a,n/a,10.1.25.79,profk8s-1,default,<none>,<none>,BE,app.kubernetes.io/component=primary app.kubernetes.io/instance=postgres-db app.kubernetes.io/managed-by=Helm app.kubernetes.io/name=postgresql app.kubernetes.io/version=16.1.0 apps.kubernetes.io/pod-index=0 controller-revision-hash=postgres-db-postgresql-7fd777d94d helm.sh/chart=postgresql-13.2.24 statefulset.kubernetes.io/pod-name=postgres-db-postgresql-0,,233d
cert-manager,cert-manager-d5fcf78bc-vz6lf,0,●,1/1,Running,0,<unknown>,2,18,0:0,0:0,n/a,n/a,n/a,n/a,10.1.175.63,k8s-control,cert-manager,<none>,<none>,BE,app=cert-manager app.kubernetes.io/component=controller app.kubernetes.io/instance=cert-manager app.kubernetes.io/name=cert-manager app.kubernetes.io/version=v1.8.0 pod-template-hash=d5fcf78bc,,141m
kube-system,calico-node-s94x6,0,●,1/1,Running,5,50d,0,0,250:0,0:0,0,n/a,n/a,n/a,192.168.168.223,profk8s-0,calico-node,<none>,<none>,BU,controller-revision-hash=9c879765c k8s-app=calico-node pod-template-generation=5,,378d
kube-system,calico-node-v67bt,0,●,1/1,Running,10,15d,34,67,250:0,0:0,13,n/a,n/a,n/a,192.168.168.201,k8s-control,calico-node,<none>,<none>,BU,controller-revision-hash=9c879765c k8s-app=calico-node pod-template-generation=5,,233d
kube-system,hostpath-provisioner-74bcd8c755-zv7n6,0,●,1/1,Running,21,37h,2,8,0:0,0:0,n/a,n/a,n/a,n/a,10.1.175.39,k8s-control,microk8s-hostpath,<none>,<none>,BE,k8s-app=hostpath-provisioner pod-template-hash=74bcd8c755,,233d
pgvector,postgres-vector-postgresql-0,0,●,1/1,Running,1,50d,11,42,250:0,256:0,4,n/a,16,n/a,10.1.25.77,profk8s-1,default,<none>,<none>,BU,app.kubernetes.io/component=primary app.kubernetes.io/instance=postgres-vector app.kubernetes.io/managed-by=Helm app.kubernetes.io/name=postgresql app.kubernetes.io/version=16.1.0 apps.kubernetes.io/pod-index=0 controller-revision-hash=postgres-vector-postgresql-79d4c545bf helm.sh/chart=postgresql-13.2.24 statefulset.kubernetes.io/pod-name=postgres-vector-postgresql-0,,107d
redis,redis-master-0,0,●,1/1,Terminating,3,50d,0,0,0:0,0:0,n/a,n/a,n/a,n/a,10.1.248.91,profk8s-0,redis,<none>,<none>,BE,app.kubernetes.io/component=master app.kubernetes.io/instance=redis app.kubernetes.io/managed-by=Helm app.kubernetes.io/name=redis app.kubernetes.io/version=7.2.3 apps.kubernetes.io/pod-index=0 controller-revision-hash=redis-master-675f748759 helm.sh/chart=redis-18.5.0 statefulset.kubernetes.io/pod-name=redis-master-0,pod is terminating,233d
